bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
,,,,670,6,19,2,848,0,1,0,,,,
798,7,6,0,600,178,142,17,,,,,,,,
1011,1087,1102,38,1409,958,990,60,1210,1,1,1,1443,221,145,14
,,,,540,36,62,9,1047,0,1,0,,,,
928,15,29,1,1404,46,32,2,,,,,,,,
2323,631,425,39,2379,635,332,43,800,6,0,0,,,,
1077,42,52,0,1261,2970,2927,166,,,,,1336,5,1,0
720,33,41,2,729,95,160,2,1089,5,8,0,1054,5,4,0
865,2,3,0,1113,191,163,15,,,,,1406,102,65,15
508,0,3,0,398,121,125,3,,,,,,,,
756,0,3,0,1127,5,3,0,622,186,237,16,,,,
1167,584,608,31,1484,40,70,2,1745,2,2,0,,,,
1243,121,110,16,1437,1106,982,137,,,,,1895,127,97,39
1162,6,5,0,1392,857,863,37,,,,,788,0,2,0
464,0,3,0,976,2,5,2,619,0,1,0,,,,
1263,50,27,2,1466,2285,2174,140,,,,,969,1,0,0
1155,1,1,0,676,76,103,3,913,2,8,0,1079,0,1,0
1039,0,1,0,1208,29,41,0,1319,52,56,3,1532,2,0,0
961,0,2,0,949,26,37,3,,,,,,,,
,,,,701,0,8,0,1000,1,1,0,,,,
784,160,175,4,1113,77,125,3,1291,3,1,0,1507,96,79,16
526,2,10,0,548,45,75,1,944,32,46,2,,,,
,,,,1390,264,262,15,1110,5,4,0,,,,
762,1,9,0,1175,470,443,28,,,,,838,0,2,0
1513,1980,2691,40,1484,216,372,13,1440,1,0,0,2312,193,59,24
,,,,1035,0,1,0,,,,,,,,
890,1,1,1,682,90,101,7,753,298,334,20,,,,
817,16,18,0,1031,159,160,11,1257,133,109,9,,,,
922,431,465,7,777,247,288,21,800,90,90,7,,,,
753,134,112,3,962,2104,2376,168,844,1,2,0,1272,1,0,0
1125,1,7,0,1240,135,179,10,1505,31,27,4,1514,2,3,0
1270,517,454,25,1260,1624,1588,146,1092,121,100,5,,,,
459,2,7,1,100,0,5,0,,,,,,,,
,,,,1456,9,6,1,,,,,,,,
997,76,68,0,1272,505,489,41,1248,5,6,0,1083,5,8,0
828,4,13,1,1766,86,23,7,1534,52,14,0,1020,3,12,0
824,0,1,0,1133,1,2,1,1483,6,4,0,1441,92,116,7
814,48,52,2,1300,2851,2746,151,954,98,117,4,635,0,11,0
,,,,592,0,2,2,,,,,,,,
,,,,643,85,87,8,660,2,7,0,747,3,7,1
,,,,1668,0,1,0,,,,,,,,
369,5,24,0,812,8,8,1,926,15,19,1,,,,
1373,184,123,10,1460,230,177,17,,,,,,,,
658,8,22,1,885,812,1029,54,925,9,9,0,1182,6,3,0
831,1,2,0,1003,921,878,59,844,0,1,0,1035,4,4,1
,,,,1116,1286,1272,100,1190,478,418,43,1294,115,63,6
958,45,47,2,1254,805,880,62,1174,262,255,12,1301,13,8,0
1200,3743,3655,105,1412,3080,2950,261,1234,142,106,12,1570,95,64,17
,,,,795,10,8,1,766,0,1,0,,,,
,,,,727,2,3,0,,,,,,,,
587,14,16,0,820,321,342,19,,,,,,,,
693,28,43,0,870,202,238,9,1015,13,13,0,928,1,0,0
,,,,720,149,130,17,912,68,54,5,,,,
2278,694,663,67,2492,590,532,91,,,,,Unrated,0,8,0
651,0,8,0,1655,1827,1713,188,1440,7,9,0,1756,46,16,7
1067,517,502,5,1207,210,189,5,1228,39,40,0,1170,83,151,0
728,2543,2622,7,924,383,360,13,873,38,24,3,,,,
1457,184,163,14,1566,536,541,34,1635,329,316,23,1470,12,27,4
2401,1895,1576,215,2348,401,309,69,,,,,,,,
,,,,1064,127,204,9,1338,76,132,12,1644,81,99,11
640,34,44,0,836,413,411,10,1291,9,4,0,623,86,108,3
831,0,1,0,642,47,53,1,,,,,,,,
1413,592,557,59,1646,154,146,9,1589,211,190,25,1176,0,1,0
1023,0,1,0,920,1,5,0,,,,,,,,
1434,52,53,3,1536,30,42,3,1565,4,7,2,1357,22,19,0
955,308,281,14,1233,383,400,43,1083,14,19,1,Unrated,1,7,0
784,12,27,0,554,36,89,1,1029,38,52,3,823,0,9,0
972,7,11,1,1422,215,197,17,1270,1,1,0,1200,44,80,1
1051,243,178,43,867,63,85,5,,,,,1603,243,178,43
1145,6,8,0,1302,29,22,2,,,,,Unrated,0,26,0
,,,,1282,2,1,0,,,,,1730,216,149,46
906,0,2,0,768,2441,2564,131,1070,15,17,2,,,,
,,,,1183,0,2,0,,,,,,,,
1120,0,2,0,1174,337,326,38,,,,,,,,
1131,57,45,3,862,42,58,3,541,0,2,0,576,2,31,0
,,,,988,36,30,4,1080,103,88,5,,,,
1085,7,10,0,1420,1842,1764,115,1260,27,21,1,,,,
708,1,4,0,1317,13,10,1,1216,88,52,16,1479,13,2,0
,,,,1049,1,4,0,1606,1,1,0,1685,439,273,38
,,,,1243,6,6,0,,,,,,,,
,,,,1307,19,17,1,952,0,2,1,,,,
536,0,5,0,989,0,1,0,,,,,,,,
1074,370,367,17,1412,1208,1133,99,800,0,1,0,,,,
972,15,12,0,1089,1514,1487,156,709,2,10,0,1181,249,305,23
1627,44,42,2,1758,698,632,71,,,,,,,,
996,44,59,2,1084,365,390,37,1220,175,157,35,1039,22,30,2
,,,,1074,271,246,12,1137,14,5,0,,,,
934,4847,6111,206,1163,2445,3024,155,1250,523,508,34,,,,
875,5,6,0,847,76,44,9,1051,18,10,5,1142,16,6,0
